bid,ask,yiledbid,yieldask,changeprice
101.2476924,102.8414364,9.284162212,9.140284625,-1.247692416
101.6258561,103.3141171,9.249614578,9.098466174,0.3781636725
101.1917459,103.0771937,9.289295207,9.119379042,-0.4341102113
101.0454278,103.0097824,9.302746506,9.125346915,-0.1463181177
101.8539632,103.2284299,9.228899598,9.106018571,0.8085354392
101.8125981,102.3811864,9.232649178,9.181374363,-0.04136512023
101.2421997,102.9153839,9.284665908,9.133717082,-0.5703983833
101.1526691,101.9016853,9.2928838,9.224577561,-0.08953059809
100.8318281,101.7891223,9.322453211,9.234778519,-0.3208409575
101.7717122,102.4492062,9.236358314,9.175278511,0.9398840451
101.1786076,102.4994242,9.290501446,9.170783222,-0.5931046107
101.5052413,102.9499876,9.26060554,9.130647046,0.3266337372
100.8048793,102.5744147,9.324945446,9.164078613,-0.7003620307
101.3602781,102.8056215,9.273849851,9.14346887,0.5553988286
101.6939603,102.7552371,9.243420128,9.147952225,0.3336822365
100.8895757,102.8548313,9.317117187,9.139094278,-0.8043846162
101.6525465,103.4429606,9.247185955,9.087133568,0.7629707447
101.9280762,102.55013,9.222189168,9.166248744,0.2755297049
101.9781813,102.9530048,9.217658013,9.130379453,0.05010511467
100.8598601,101.4269661,9.319862228,9.267752315,-1.118321243
101.3429707,102.7791992,9.27543364,9.145819463,0.4831106902
101.7689058,102.809174,9.236613018,9.143152929,0.4259350445
101.0757176,102.0451813,9.29995871,9.211605956,-0.6931882126
101.5589094,103.5295056,9.255711838,9.079537223,0.4831918266
101.5925212,102.2651742,9.252649591,9.191789943,0.03361182796
101.406224,102.7477351,9.269647982,9.148620157,-0.1862971891
101.5906353,103.4492674,9.252821354,9.086579572,0.1844112982
101.2356624,103.221283,9.285265464,9.106649065,-0.3549729211
102.2819957,103.4701642,9.190278245,9.084744446,1.046333287
101.2814639,103.1245243,9.281066487,9.115193561,-1.000531839
101.4013278,101.9589431,9.270095574,9.219397257,0.119863931
101.7151611,103.2228994,9.241493496,9.106506454,0.3138333371
101.9791138,102.8167152,9.217573726,9.14248231,0.2639526739
101.7883908,103.3866624,9.234844882,9.092081879,-0.19072299
101.4219459,102.7171501,9.268211053,9.15134424,-0.3664449211
101.4518747,102.0765596,9.265476887,9.208774313,0.02992878873
101.2919123,102.2316718,9.28010913,9.194802193,-0.1599623955
102.4718582,103.0499434,9.173250261,9.121790553,1.179945914
102.3226605,102.9347196,9.186625867,9.132001366,-0.1491976753
101.6722256,103.6207868,9.245396116,9.071538914,-0.6504348935
101.6526516,102.5407991,9.247176387,9.16708284,-0.01957398902
102.0843198,103.8607753,9.208074286,9.050577541,0.4316681366
102.4958662,104.2881372,9.171101579,9.013489216,0.4115463766
