bid,ask,yiledbid,yieldask,changeprice
108.0133931,109.6339543,7.961975597,7.844285152,-8.0133931
108.3222649,110.0861703,7.939272695,7.812062112,0.3088717968
108.2558887,110.1927588,7.944140595,7.804505569,-0.06637619969
107.5941782,108.7465695,7.992997522,7.908295442,-0.6617104632
107.1238858,108.3048254,8.028088167,7.940551098,-0.4702924355
107.2828705,108.8721935,8.016191178,7.899170322,0.1589846958
107.0621592,108.0770969,8.032716755,7.957282574,-0.2207112929
108.0173017,109.99246,7.961687496,7.818717758,0.9551424554
106.8195632,108.1793368,8.050959711,7.949762178,-1.197738418
106.7605827,108.4330789,8.055407514,7.931159094,-0.05898054339
107.932736,109.4785731,7.967925504,7.855418419,1.172153325
107.5641532,109.2348247,7.995228655,7.872947131,-0.368582804
106.9006234,108.6003646,8.044854866,7.918942104,-0.6635298615
107.2659341,108.2095825,8.017456866,7.947540136,0.3653107641
107.0028902,107.595465,8.03716608,7.992901931,-0.2630438698
107.1156552,108.8450646,8.028705031,7.901139142,0.1127649795
106.9024033,107.9384188,8.044720921,7.967506003,-0.2132519756
107.9487418,109.6670533,7.966744085,7.841917642,1.046338525
106.6460865,108.5914563,8.064055868,7.919591738,-1.302655228
107.7152016,109.034237,7.984016993,7.887430806,1.069115051
107.449452,109.3426407,8.003763478,7.865184108,-0.2657495562
107.9018896,109.1756677,7.970203334,7.877213102,0.4524375243
106.717974,108.5715591,8.058623755,7.921043112,-1.183915612
106.6653327,108.5845785,8.062600831,7.920093366,-0.05264125999
106.6232247,107.5089306,8.065784943,7.999335455,-0.04210804585
107.3179852,108.1547625,8.013568258,7.951568477,0.6947605795
107.7133099,108.4383456,7.984157209,7.930773894,0.3953247078
107.6833392,109.1869218,7.986379386,7.876401183,-0.02997078503
107.4956381,109.1389321,8.000324622,7.879864529,-0.1877010864
107.7547512,109.6023606,7.98108659,7.846546324,0.2591131542
107.1854267,108.1870836,8.023478813,7.949192927,-0.5693245438
107.0591547,107.8801034,8.032942187,7.971812901,-0.1262720116
106.3656003,108.0234675,8.085320797,7.961233055,-0.6935543895
106.6400087,108.3809832,8.064515468,7.93497138,0.2744084617
107.1528493,108.4483694,8.025918167,7.930040857,0.5128405765
106.6338962,107.8384538,8.064977744,7.974891789,-0.5189530689
106.6106202,107.4340158,8.066738551,8.004913468,-0.02327603833
107.0221144,108.8808418,8.035722378,7.898542898,0.4114942423
107.0926754,108.8368508,8.030427824,7.901735431,0.07056092213
107.292412,108.003465,8.015478299,7.962707495,0.1997366232
107.4406089,109.2558307,8.004422247,7.871433449,0.1481968856
106.946709,108.4315043,8.041388165,7.931274272,-0.4938998847
106.9953247,108.4146363,8.03773438,7.932508277,0.0486157226
106.0381955,107.8057282,8.110285129,7.977312655,-0.9571292298
107.2159804,108.5462878,8.021192336,7.922887253,1.177784879
106.7156371,108.5831284,8.058800219,7.920199139,-0.5003432248
106.3302694,108.3279818,8.088007349,7.938853711,-0.3853677831
106.5940262,108.4732369,8.06799434,7.928222893,0.2637568354
105.867163,107.4520597,8.123387605,8.003569238,-0.7268631558
106.6588982,107.6283567,8.063087229,7.990459269,0.7917351744
106.1473527,106.9258495,8.101944874,8.042956911,-0.5115455203
105.8466951,106.6721468,8.124958451,8.062085797,-0.3006575827
106.327629,107.6687083,8.08820819,7.987464635,0.4809339317
105.925487,106.4859663,8.118914762,8.076181583,-0.4021420538
106.9133074,108.4189337,8.043900436,7.93219386,0.9878204075
105.8291755,106.9760893,8.126303503,8.039179648,-1.08413185
106.2675528,107.3762908,8.092780694,8.009216869,0.4383772928
105.6739839,106.8173682,8.1382377,8.051125157,-0.5935689028
105.5580812,106.8877455,8.147173479,8.045824115,-0.1159026898
106.8085977,108.4101291,8.051786267,7.932838076,1.25051643
106.290207,106.8345726,8.091055839,8.04982862,-0.5183906676
